Id:,20373
Estación:,SAN MARTIN PERAS-OAX
Posición:,17.3666666667N -98.2541666667W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1982
Fecha Final:,01/01/1989
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1982,3.7
01,02,1982,3.0
01,03,1982,3.9
01,04,1982,3.3
01,05,1982,5.2
01,06,1982,3.5
01,07,1982,4.4
01,08,1982,5.6
01,09,1982,3.0
01,10,1982,4.9
01,11,1982,5.6
01,12,1982,3.6
01,13,1982,2.7
01,14,1982,3.3
01,15,1982,4.0
01,16,1982,4.4
01,17,1982,4.2
01,18,1982,3.3
01,19,1982,4.6
01,20,1982,6.2
01,21,1982,4.8
01,22,1982,4.4
01,23,1982,4.3
01,24,1982,3.3
01,25,1982,4.8
01,26,1982,3.3
01,27,1982,4.3
01,28,1982,3.7
01,29,1982,3.6
01,30,1982,4.6
01,31,1982,4.4
02,01,1982,4.2
02,02,1982,5.1
02,03,1982,5.5
02,04,1982,6.1
02,05,1982,5.2
02,06,1982,5.1
02,07,1982,4.2
02,08,1982,5.9
02,09,1982,4.3
02,10,1982,5.9
02,11,1982,5.2
02,12,1982,5.9
02,13,1982,4.2
02,14,1982,6.4
02,15,1982,4.0
02,16,1982,5.7
02,17,1982,5.8
02,18,1982,4.6
02,19,1982,4.9
02,20,1982,5.2
02,21,1982,5.1
02,22,1982,5.1
02,23,1982,4.3
02,24,1982,3.7
02,25,1982,3.5
02,26,1982,3.4
02,27,1982,3.3
02,28,1982,3.9
03,01,1982,null
03,02,1982,null
03,03,1982,null
03,04,1982,null
03,05,1982,null
03,06,1982,null
03,07,1982,null
03,08,1982,null
03,09,1982,null
03,10,1982,null
03,11,1982,null
03,12,1982,null
03,13,1982,null
03,14,1982,null
03,15,1982,null
03,16,1982,null
03,17,1982,null
03,18,1982,null
03,19,1982,null
03,20,1982,null
03,21,1982,null
03,22,1982,null
03,23,1982,null
03,24,1982,null
03,25,1982,null
03,26,1982,null
03,27,1982,null
03,28,1982,null
03,29,1982,null
03,30,1982,null
03,31,1982,null
04,01,1982,6.2
04,02,1982,7.5
04,03,1982,7.1
04,04,1982,8.0
04,05,1982,9.3
04,06,1982,8.2
04,07,1982,7.0
04,08,1982,7.8
04,09,1982,7.2
04,10,1982,6.4
04,11,1982,3.1
04,12,1982,3.5
04,13,1982,4.4
04,14,1982,7.0
04,15,1982,6.1
04,16,1982,5.9
04,17,1982,6.7
04,18,1982,7.4
04,19,1982,6.3
04,20,1982,3.6
04,21,1982,5.4
04,22,1982,3.8
04,23,1982,4.9
04,24,1982,3.6
04,25,1982,6.5
04,26,1982,6.6
04,27,1982,6.3
04,28,1982,6.2
04,29,1982,6.5
04,30,1982,6.7
05,01,1982,6.0
05,02,1982,8.9
05,03,1982,5.0
05,04,1982,4.6
05,05,1982,8.3
05,06,1982,5.3
05,07,1982,4.9
05,08,1982,5.7
05,09,1982,8.3
05,10,1982,7.7
05,11,1982,7.2
05,12,1982,6.9
05,13,1982,5.2
05,14,1982,5.7
05,15,1982,6.3
05,16,1982,5.5
05,17,1982,4.3
05,18,1982,5.6
05,19,1982,4.7
05,20,1982,4.3
05,21,1982,4.1
05,22,1982,4.7
05,23,1982,5.1
05,24,1982,5.1
05,25,1982,6.2
05,26,1982,5.8
05,27,1982,6.5
05,28,1982,5.0
05,29,1982,5.1
05,30,1982,5.4
05,31,1982,5.1
06,01,1982,7.3
06,02,1982,6.6
06,03,1982,4.4
06,04,1982,6.8
06,05,1982,9.2
06,06,1982,5.0
06,07,1982,5.2
06,08,1982,5.4
06,09,1982,6.5
06,10,1982,8.3
06,11,1982,6.5
06,12,1982,5.9
06,13,1982,3.9
06,14,1982,4.4
06,15,1982,8.0
06,16,1982,3.6
06,17,1982,9.4
06,18,1982,7.5
06,19,1982,3.0
06,20,1982,4.8
06,21,1982,3.1
06,22,1982,7.9
06,23,1982,8.0
06,24,1982,4.9
06,25,1982,4.6
06,26,1982,3.2
06,27,1982,4.4
06,28,1982,5.5
06,29,1982,7.6
06,30,1982,6.3
07,01,1982,5.2
07,02,1982,4.8
07,03,1982,5.0
07,04,1982,5.2
07,05,1982,5.9
07,06,1982,5.7
07,07,1982,5.2
07,08,1982,3.6
07,09,1982,4.3
07,10,1982,4.8
07,11,1982,2.2
07,12,1982,5.6
07,13,1982,3.7
07,14,1982,4.9
07,15,1982,3.8
07,16,1982,5.1
07,17,1982,2.6
07,18,1982,3.9
07,19,1982,3.3
07,20,1982,3.4
07,21,1982,2.8
07,22,1982,3.2
07,23,1982,3.0
07,24,1982,4.2
07,25,1982,5.3
07,26,1982,3.4
07,27,1982,4.7
07,28,1982,3.8
07,29,1982,4.0
07,30,1982,3.8
07,31,1982,2.8
08,01,1982,2.8
08,02,1982,3.5
08,03,1982,4.2
08,04,1982,4.4
08,05,1982,5.2
08,06,1982,4.5
08,07,1982,4.3
08,08,1982,5.6
08,09,1982,3.4
08,10,1982,4.9
08,11,1982,2.6
08,12,1982,4.8
08,13,1982,4.2
08,14,1982,5.0
08,15,1982,4.8
08,16,1982,5.4
08,17,1982,6.1
08,18,1982,5.5
08,19,1982,2.9
08,20,1982,3.0
08,21,1982,4.6
08,22,1982,4.6
08,23,1982,3.8
08,24,1982,3.3
08,25,1982,4.7
08,26,1982,3.0
08,27,1982,3.2
08,28,1982,4.9
08,29,1982,3.8
08,30,1982,3.1
08,31,1982,2.8
09,01,1982,3.4
09,02,1982,3.7
09,03,1982,3.2
09,04,1982,4.3
09,05,1982,4.4
09,06,1982,4.2
09,07,1982,3.5
09,08,1982,4.0
09,09,1982,3.8
09,10,1982,4.3
09,11,1982,4.3
09,12,1982,5.0
09,13,1982,3.8
09,14,1982,2.7
09,15,1982,3.2
09,16,1982,3.5
09,17,1982,3.6
09,18,1982,2.5
09,19,1982,2.8
09,20,1982,2.4
09,21,1982,2.4
09,22,1982,3.0
09,23,1982,4.0
09,24,1982,3.1
09,25,1982,2.7
09,26,1982,3.4
09,27,1982,3.7
09,28,1982,4.3
09,29,1982,3.7
09,30,1982,4.4
10,01,1982,3.4
10,02,1982,3.5
10,03,1982,2.6
10,04,1982,2.2
10,05,1982,2.6
10,06,1982,2.3
10,07,1982,2.7
10,08,1982,2.0
10,09,1982,3.5
10,10,1982,2.6
10,11,1982,4.9
10,12,1982,3.3
10,13,1982,3.8
10,14,1982,3.1
10,15,1982,4.6
10,16,1982,3.6
10,17,1982,3.5
10,18,1982,3.9
10,19,1982,4.1
10,20,1982,5.2
10,21,1982,3.5
10,22,1982,4.2
10,23,1982,4.2
10,24,1982,5.5
10,25,1982,2.7
10,26,1982,3.9
10,27,1982,5.4
10,28,1982,4.7
10,29,1982,5.4
10,30,1982,3.7
10,31,1982,2.7
11,01,1982,2.1
11,02,1982,3.0
11,03,1982,4.0
11,04,1982,4.2
11,05,1982,2.6
11,06,1982,3.6
11,07,1982,3.8
11,08,1982,4.0
11,09,1982,4.0
11,10,1982,4.4
11,11,1982,4.8
11,12,1982,4.7
11,13,1982,5.0
11,14,1982,4.7
11,15,1982,4.1
11,16,1982,5.4
11,17,1982,4.8
11,18,1982,4.0
11,19,1982,4.5
11,20,1982,3.5
11,21,1982,3.2
11,22,1982,3.6
11,23,1982,3.2
11,24,1982,3.4
11,25,1982,3.8
11,26,1982,3.7
11,27,1982,3.5
11,28,1982,3.4
11,29,1982,2.8
11,30,1982,3.4
12,01,1982,2.2
12,02,1982,3.4
12,03,1982,2.5
12,04,1982,4.0
12,05,1982,4.7
12,06,1982,4.6
12,07,1982,4.5
12,08,1982,3.3
12,09,1982,3.8
12,10,1982,2.6
12,11,1982,3.0
12,12,1982,3.2
12,13,1982,3.8
12,14,1982,3.8
12,15,1982,4.0
12,16,1982,3.6
12,17,1982,3.1
12,18,1982,3.1
12,19,1982,3.2
12,20,1982,3.2
12,21,1982,3.6
12,22,1982,3.6
12,23,1982,3.1
12,24,1982,2.3
12,25,1982,3.7
12,26,1982,2.8
12,27,1982,1.5
12,28,1982,1.9
12,29,1982,4.2
12,30,1982,4.0
12,31,1982,4.9
01,01,1983,5.0
01,02,1983,8.3
01,03,1983,7.3
01,04,1983,6.9
01,05,1983,6.4
01,06,1983,5.6
01,07,1983,5.4
01,08,1983,6.6
01,09,1983,4.8
01,10,1983,5.3
01,11,1983,3.3
01,12,1983,5.4
01,13,1983,5.4
01,14,1983,4.6
01,15,1983,3.8
01,16,1983,2.8
01,17,1983,4.0
01,18,1983,3.7
01,19,1983,3.4
01,20,1983,4.4
01,21,1983,4.0
01,22,1983,4.3
01,23,1983,5.2
01,24,1983,4.4
01,25,1983,4.1
01,26,1983,5.4
01,27,1983,5.1
01,28,1983,4.3
01,29,1983,5.4
01,30,1983,6.2
01,31,1983,6.1
02,01,1983,7.7
02,02,1983,7.7
02,03,1983,6.5
02,04,1983,7.3
02,05,1983,7.1
02,06,1983,7.5
02,07,1983,7.2
02,08,1983,7.0
02,09,1983,6.9
02,10,1983,7.0
02,11,1983,5.1
02,12,1983,5.9
02,13,1983,6.6
02,14,1983,6.5
02,15,1983,6.2
02,16,1983,7.3
02,17,1983,7.5
02,18,1983,5.5
02,19,1983,6.4
02,20,1983,4.7
02,21,1983,5.7
02,22,1983,5.9
02,23,1983,5.3
02,24,1983,3.5
02,25,1983,2.3
02,26,1983,2.9
02,27,1983,2.2
02,28,1983,7.1
03,01,1983,7.7
03,02,1983,8.5
03,03,1983,7.5
03,04,1983,7.4
03,05,1983,7.1
03,06,1983,7.4
03,07,1983,8.1
03,08,1983,8.6
03,09,1983,7.8
03,10,1983,7.7
03,11,1983,6.8
03,12,1983,5.7
03,13,1983,1.9
03,14,1983,6.8
03,15,1983,7.2
03,16,1983,7.3
03,17,1983,8.3
03,18,1983,8.0
03,19,1983,7.8
03,20,1983,7.1
03,21,1983,7.2
03,22,1983,8.0
03,23,1983,6.7
03,24,1983,9.0
03,25,1983,6.1
03,26,1983,7.1
03,27,1983,7.9
03,28,1983,6.2
03,29,1983,6.7
03,30,1983,6.8
03,31,1983,6.6
04,01,1983,5.4
04,02,1983,4.7
04,03,1983,5.2
04,04,1983,5.4
04,05,1983,5.0
04,06,1983,5.2
04,07,1983,3.4
04,08,1983,4.3
04,09,1983,4.8
04,10,1983,3.6
04,11,1983,4.7
04,12,1983,4.6
04,13,1983,4.3
04,14,1983,5.6
04,15,1983,5.7
04,16,1983,5.7
04,17,1983,6.0
04,18,1983,5.3
04,19,1983,5.5
04,20,1983,5.1
04,21,1983,5.1
04,22,1983,4.8
04,23,1983,5.5
04,24,1983,16.5
04,25,1983,6.2
04,26,1983,6.1
04,27,1983,5.9
04,28,1983,5.2
04,29,1983,5.3
04,30,1983,3.7
05,01,1983,5.0
05,02,1983,5.7
05,03,1983,4.7
05,04,1983,6.0
05,05,1983,6.7
05,06,1983,4.7
05,07,1983,5.3
05,08,1983,5.2
05,09,1983,6.0
05,10,1983,5.3
05,11,1983,5.4
05,12,1983,5.6
05,13,1983,5.5
05,14,1983,6.5
05,15,1983,6.0
05,16,1983,6.4
05,17,1983,6.4
05,18,1983,6.6
05,19,1983,6.3
05,20,1983,6.2
05,21,1983,6.1
05,22,1983,6.3
05,23,1983,5.0
05,24,1983,5.3
05,25,1983,6.1
05,26,1983,7.2
05,27,1983,5.5
05,28,1983,6.2
05,29,1983,5.7
05,30,1983,3.5
05,31,1983,5.3
06,01,1983,3.6
06,02,1983,4.0
06,03,1983,4.0
06,04,1983,5.7
06,05,1983,5.4
06,06,1983,6.7
06,07,1983,5.3
06,08,1983,5.3
06,09,1983,6.2
06,10,1983,6.1
06,11,1983,7.1
06,12,1983,7.3
06,13,1983,4.7
06,14,1983,3.7
06,15,1983,3.9
06,16,1983,3.1
06,17,1983,5.1
06,18,1983,3.8
06,19,1983,2.9
06,20,1983,3.4
06,21,1983,3.5
06,22,1983,3.4
06,23,1983,3.9
06,24,1983,4.4
06,25,1983,4.6
06,26,1983,3.2
06,27,1983,3.3
06,28,1983,2.8
06,29,1983,3.6
06,30,1983,3.0
07,01,1983,3.2
07,02,1983,2.6
07,03,1983,3.6
07,04,1983,3.3
07,05,1983,3.9
07,06,1983,3.8
07,07,1983,2.7
07,08,1983,3.1
07,09,1983,2.8
07,10,1983,3.9
07,11,1983,2.8
07,12,1983,2.3
07,13,1983,2.8
07,14,1983,2.8
07,15,1983,2.7
07,16,1983,3.1
07,17,1983,2.5
07,18,1983,2.7
07,19,1983,2.6
07,20,1983,3.3
07,21,1983,3.2
07,22,1983,2.7
07,23,1983,3.2
07,24,1983,7.7
07,25,1983,3.1
07,26,1983,2.4
07,27,1983,3.7
07,28,1983,3.7
07,29,1983,3.4
07,30,1983,2.4
07,31,1983,2.3
08,01,1983,2.7
08,02,1983,3.8
08,03,1983,1.2
08,04,1983,1.4
08,05,1983,3.7
08,06,1983,2.8
08,07,1983,3.2
08,08,1983,2.7
08,09,1983,3.2
08,10,1983,3.4
08,11,1983,2.3
08,12,1983,2.3
08,13,1983,4.7
08,14,1983,3.1
08,15,1983,3.1
08,16,1983,2.8
08,17,1983,2.4
08,18,1983,3.4
08,19,1983,3.5
08,20,1983,3.5
08,21,1983,2.6
08,22,1983,2.1
08,23,1983,2.7
08,24,1983,2.6
08,25,1983,3.0
08,26,1983,3.1
08,27,1983,3.8
08,28,1983,2.5
08,29,1983,3.6
08,30,1983,3.4
08,31,1983,2.7
09,01,1983,2.5
09,02,1983,3.5
09,03,1983,2.6
09,04,1983,2.9
09,05,1983,3.4
09,06,1983,3.1
09,07,1983,2.6
09,08,1983,2.6
09,09,1983,2.2
09,10,1983,1.8
09,11,1983,2.0
09,12,1983,3.1
09,13,1983,4.7
09,14,1983,4.7
09,15,1983,4.4
09,16,1983,3.4
09,17,1983,2.5
09,18,1983,3.0
09,19,1983,2.1
09,20,1983,2.2
09,21,1983,2.1
09,22,1983,3.5
09,23,1983,2.8
09,24,1983,2.6
09,25,1983,2.5
09,26,1983,3.6
09,27,1983,3.8
09,28,1983,3.0
09,29,1983,3.0
09,30,1983,2.8
10,01,1983,3.7
10,02,1983,4.0
10,03,1983,3.8
10,04,1983,3.1
10,05,1983,2.3
10,06,1983,1.7
